,ZONE,year,value,ProjectID
425,3348,2039,1242213.6,5000.34
426,1993,2039,1648254.6,5000.34
427,1996,2039,1857212.314285714,5000.34
428,3372,2040,14875.699999999999,5000.34
429,3355,2040,34404.0,5000.34
430,3396,2040,49525.1,5000.34
431,2006,2040,75407.6,5000.34
432,3356,2040,222202.1,5000.34
433,1998,2040,383552.6,5000.34
434,3376,2040,573533.6,5000.34
435,3350,2040,925864.6,5000.34
436,3348,2040,1242213.6,5000.34
437,1993,2040,1648254.6,5000.34
438,1996,2040,2000074.7999999996,5000.34
439,288,2027,123.28,18495.2
440,2631,2027,390.23,18495.2
441,288,2028,123.28,18495.2
442,2631,2028,390.23,18495.2
443,288,2029,123.28,18495.2
444,2631,2029,390.23,18495.2
445,288,2030,123.28,18495.2
446,2631,2030,390.23,18495.2
447,288,2031,123.28,18495.2
448,2631,2031,390.23,18495.2
449,288,2032,123.28,18495.2
450,2631,2032,390.23,18495.2
451,288,2033,123.28,18495.2
452,2631,2033,390.23,18495.2
453,288,2034,123.28,18495.2
454,2631,2034,390.23,18495.2
455,288,2035,123.28,18495.2
456,2631,2035,390.23,18495.2
457,288,2036,123.28,18495.2
458,2631,2036,390.23,18495.2
459,288,2037,123.28,18495.2
460,2631,2037,390.23,18495.2
461,288,2038,123.28,18495.2
462,2631,2038,390.23,18495.2
463,288,2039,123.28,18495.2
464,2631,2039,390.23,18495.2
465,288,2040,123.28,18495.2
466,2631,2040,390.23,18495.2
467,1258,2027,515.7142857142857,6034.0
468,1258,2028,1031.4285714285713,6034.0
469,1258,2029,1547.1428571428569,6034.0
470,1258,2030,2062.8571428571427,6034.0
471,1258,2031,2578.5714285714284,6034.0
472,1258,2032,2646.5299999999997,6034.0
473,2430,2032,3094.285714285714,6034.0
474,1258,2033,2646.5299999999997,6034.0
475,2430,2033,3610.0,6034.0
476,1258,2034,2646.5299999999997,6034.0
477,2430,2034,4125.714285714285,6034.0
478,1258,2035,2646.5299999999997,6034.0
479,2430,2035,4641.428571428571,6034.0
480,1258,2036,2646.5299999999997,6034.0
481,2430,2036,5157.142857142856,6034.0
482,1258,2037,2646.5299999999997,6034.0
483,2430,2037,5672.857142857141,6034.0
484,1258,2038,2646.5299999999997,6034.0
485,2430,2038,6188.571428571427,6034.0
486,1258,2039,2646.5299999999997,6034.0
487,2430,2039,6704.285714285712,6034.0
488,1258,2040,2646.5299999999997,6034.0
489,2430,2040,7219.999999999997,6034.0
490,3217,2027,256.7,1113.6.12.2
491,3217,2028,256.7,1113.6.12.2
492,3217,2029,256.7,1113.6.12.2
493,3217,2030,256.7,1113.6.12.2
494,3217,2031,256.7,1113.6.12.2
495,3217,2032,256.7,1113.6.12.2
496,3217,2033,256.7,1113.6.12.2
497,3217,2034,256.7,1113.6.12.2
498,3217,2035,256.7,1113.6.12.2
499,3217,2036,256.7,1113.6.12.2
500,3217,2037,256.7,1113.6.12.2
501,3217,2038,256.7,1113.6.12.2
502,3217,2039,256.7,1113.6.12.2
503,3217,2040,256.7,1113.6.12.2
504,2697,2027,7735.0,15090.1
505,2696,2027,10920.82142857143,15090.1
506,2697,2028,7735.0,15090.1
507,2696,2028,19335.5,15090.1
508,2697,2029,7735.0,15090.1
509,2696,2029,19335.5,15090.1
510,2697,2030,7735.0,15090.1
511,2696,2030,19335.5,15090.1
512,2697,2031,7735.0,15090.1
513,2696,2031,19335.5,15090.1
514,2697,2032,7735.0,15090.1
515,2696,2032,19335.5,15090.1
516,2697,2033,7735.0,15090.1
517,2696,2033,19335.5,15090.1
518,2697,2034,7735.0,15090.1
519,2696,2034,19335.5,15090.1
520,2697,2035,7735.0,15090.1
521,2696,2035,19335.5,15090.1
522,2697,2036,7735.0,15090.1
523,2696,2036,19335.5,15090.1
524,2697,2037,7735.0,15090.1
525,2696,2037,19335.5,15090.1
526,2697,2038,7735.0,15090.1
527,2696,2038,19335.5,15090.1
528,2697,2039,7735.0,15090.1
529,2696,2039,19335.5,15090.1
530,2697,2040,7735.0,15090.1
531,2696,2040,19335.5,15090.1
532,1072,2027,1457.06,5222.0
533,1072,2028,1457.06,5222.0
534,1072,2029,1457.06,5222.0
535,1072,2030,1457.06,5222.0
536,1072,2031,1457.06,5222.0
537,1072,2032,1457.06,5222.0
538,1072,2033,1457.06,5222.0
539,1072,2034,1457.06,5222.0
540,1072,2035,1457.06,5222.0
541,1072,2036,1457.06,5222.0
542,1072,2037,1457.06,5222.0
543,1072,2038,1457.06,5222.0
544,1072,2039,1457.06,5222.0
545,1072,2040,1457.06,5222.0
546,1009,2027,263.59,1113.6.12.1
547,1009,2028,263.59,1113.6.12.1
548,1009,2029,263.59,1113.6.12.1
549,1009,2030,263.59,1113.6.12.1
550,1009,2031,263.59,1113.6.12.1
551,1009,2032,263.59,1113.6.12.1
552,1009,2033,263.59,1113.6.12.1
553,1009,2034,263.59,1113.6.12.1
554,1009,2035,263.59,1113.6.12.1
555,1009,2036,263.59,1113.6.12.1
556,1009,2037,263.59,1113.6.12.1
557,1009,2038,263.59,1113.6.12.1
558,1009,2039,263.59,1113.6.12.1
559,1009,2040,263.59,1113.6.12.1
560,1173,2027,276.14999999999986,17860.0
561,1187,2027,1677.85,17860.0
562,1223,2027,28753.849999999995,17860.0
563,1210,2027,47727.84999999999,17860.0
564,1230,2027,61953.84999999999,17860.0
565,1213,2027,75937.84999999999,17860.0
566,1173,2028,276.14999999999986,17860.0
567,1187,2028,1677.85,17860.0
568,1223,2028,28753.849999999995,17860.0
569,1210,2028,47727.84999999999,17860.0
570,1230,2028,61953.84999999999,17860.0
571,1213,2028,75937.84999999999,17860.0
572,1173,2029,276.14999999999986,17860.0
573,1187,2029,1677.85,17860.0
574,1223,2029,28753.849999999995,17860.0
575,1210,2029,47727.84999999999,17860.0
576,1230,2029,61953.84999999999,17860.0
577,1213,2029,75937.84999999999,17860.0
578,1173,2030,276.14999999999986,17860.0
579,1187,2030,1677.85,17860.0
580,1223,2030,28753.849999999995,17860.0
581,1210,2030,47727.84999999999,17860.0
582,1230,2030,61953.84999999999,17860.0
583,1213,2030,75937.84999999999,17860.0
584,1173,2031,276.14999999999986,17860.0
585,1187,2031,1677.85,17860.0
586,1223,2031,28753.849999999995,17860.0
587,1210,2031,47727.84999999999,17860.0
588,1230,2031,61953.84999999999,17860.0
589,1213,2031,75937.84999999999,17860.0
590,1173,2032,276.14999999999986,17860.0
591,1187,2032,1677.85,17860.0
592,1223,2032,28753.849999999995,17860.0
593,1210,2032,47727.84999999999,17860.0
594,1230,2032,61953.84999999999,17860.0
595,1213,2032,75937.84999999999,17860.0
596,1173,2033,276.14999999999986,17860.0
597,1187,2033,1677.85,17860.0
598,1223,2033,28753.849999999995,17860.0
599,1210,2033,47727.84999999999,17860.0
600,1230,2033,61953.84999999999,17860.0
601,1213,2033,75937.84999999999,17860.0
602,1173,2034,276.14999999999986,17860.0
603,1187,2034,1677.85,17860.0
604,1223,2034,28753.849999999995,17860.0
605,1210,2034,47727.84999999999,17860.0
606,1230,2034,61953.84999999999,17860.0
607,1213,2034,75937.84999999999,17860.0
608,1173,2035,276.14999999999986,17860.0
609,1187,2035,1677.85,17860.0
610,1223,2035,28753.849999999995,17860.0
611,1210,2035,47727.84999999999,17860.0
612,1230,2035,61953.84999999999,17860.0
613,1213,2035,75937.84999999999,17860.0
614,1173,2036,276.14999999999986,17860.0
615,1187,2036,1677.85,17860.0
616,1223,2036,28753.849999999995,17860.0
617,1210,2036,47727.84999999999,17860.0
618,1230,2036,61953.84999999999,17860.0
619,1213,2036,75937.84999999999,17860.0
620,1173,2037,276.14999999999986,17860.0
621,1187,2037,1677.85,17860.0
622,1223,2037,28753.849999999995,17860.0
623,1210,2037,47727.84999999999,17860.0
624,1230,2037,61953.84999999999,17860.0
625,1213,2037,75937.84999999999,17860.0
626,1173,2038,276.14999999999986,17860.0
627,1187,2038,1677.85,17860.0
628,1223,2038,28753.849999999995,17860.0
629,1210,2038,47727.84999999999,17860.0
630,1230,2038,61953.84999999999,17860.0
631,1213,2038,75937.84999999999,17860.0
632,1173,2039,276.14999999999986,17860.0
633,1187,2039,1677.85,17860.0
634,1223,2039,28753.849999999995,17860.0
635,1210,2039,47727.84999999999,17860.0
636,1230,2039,61953.84999999999,17860.0
637,1213,2039,75937.84999999999,17860.0
638,1173,2040,276.14999999999986,17860.0
639,1187,2040,1677.85,17860.0
640,1223,2040,28753.849999999995,17860.0
641,1210,2040,47727.84999999999,17860.0
642,1230,2040,61953.84999999999,17860.0
643,1213,2040,75937.84999999999,17860.0
644,2860,2027,3508.3999999999996,21703.0
645,2856,2027,4662.799999999999,21703.0
646,2858,2027,7445.299999999999,21703.0
647,2865,2027,15974.8,21703.0
648,2866,2027,26147.8,21703.0
649,2869,2027,63646.8,21703.0
650,2871,2027,95315.3,21703.0
651,2854,2027,166227.3,21703.0
652,1098,2027,201489.3,21703.0
653,2860,2028,3508.3999999999996,21703.0
654,2856,2028,4662.799999999999,21703.0
655,2858,2028,7445.299999999999,21703.0
656,2865,2028,15974.8,21703.0
657,2866,2028,26147.8,21703.0
658,2869,2028,63646.8,21703.0
659,2871,2028,95315.3,21703.0
660,2854,2028,166227.3,21703.0
661,1098,2028,201489.3,21703.0
662,2860,2029,3508.3999999999996,21703.0
663,2856,2029,4662.799999999999,21703.0
664,2858,2029,7445.299999999999,21703.0
665,2865,2029,15974.8,21703.0
666,2866,2029,26147.8,21703.0
667,2869,2029,63646.8,21703.0
668,2871,2029,95315.3,21703.0
669,2854,2029,166227.3,21703.0
670,1098,2029,201489.3,21703.0
671,2860,2030,3508.3999999999996,21703.0
672,2856,2030,4662.799999999999,21703.0
673,2858,2030,7445.299999999999,21703.0
674,2865,2030,15974.8,21703.0
675,2866,2030,26147.8,21703.0
676,2869,2030,63646.8,21703.0
677,2871,2030,95315.3,21703.0
678,2854,2030,166227.3,21703.0
679,1098,2030,201489.3,21703.0
680,2860,2031,3508.3999999999996,21703.0
681,2856,2031,4662.799999999999,21703.0
682,2858,2031,7445.299999999999,21703.0
683,2865,2031,15974.8,21703.0
684,2866,2031,26147.8,21703.0
685,2869,2031,63646.8,21703.0
686,2871,2031,95315.3,21703.0
687,2854,2031,166227.3,21703.0
688,1098,2031,201489.3,21703.0
689,2860,2032,3508.3999999999996,21703.0
690,2856,2032,4662.799999999999,21703.0
691,2858,2032,7445.299999999999,21703.0
692,2865,2032,15974.8,21703.0
693,2866,2032,26147.8,21703.0
694,2869,2032,63646.8,21703.0
695,2871,2032,95315.3,21703.0
696,2854,2032,166227.3,21703.0
697,1098,2032,201489.3,21703.0
698,2860,2033,3508.3999999999996,21703.0
699,2856,2033,4662.799999999999,21703.0
700,2858,2033,7445.299999999999,21703.0
701,2865,2033,15974.8,21703.0
702,2866,2033,26147.8,21703.0
703,2869,2033,63646.8,21703.0
704,2871,2033,95315.3,21703.0
705,2854,2033,166227.3,21703.0
706,1098,2033,201489.3,21703.0
707,2860,2034,3508.3999999999996,21703.0
708,2856,2034,4662.799999999999,21703.0
709,2858,2034,7445.299999999999,21703.0
710,2865,2034,15974.8,21703.0
711,2866,2034,26147.8,21703.0
712,2869,2034,63646.8,21703.0
713,2871,2034,95315.3,21703.0
714,2854,2034,166227.3,21703.0
715,1098,2034,201489.3,21703.0
716,2860,2035,3508.3999999999996,21703.0
717,2856,2035,4662.799999999999,21703.0
718,2858,2035,7445.299999999999,21703.0
719,2865,2035,15974.8,21703.0
720,2866,2035,26147.8,21703.0
721,2869,2035,63646.8,21703.0
722,2871,2035,95315.3,21703.0
723,2854,2035,166227.3,21703.0
724,1098,2035,201489.3,21703.0
725,2860,2036,3508.3999999999996,21703.0
726,2856,2036,4662.799999999999,21703.0
727,2858,2036,7445.299999999999,21703.0
728,2865,2036,15974.8,21703.0
729,2866,2036,26147.8,21703.0
730,2869,2036,63646.8,21703.0
731,2871,2036,95315.3,21703.0
732,2854,2036,166227.3,21703.0
733,1098,2036,201489.3,21703.0
734,2860,2037,3508.3999999999996,21703.0
