Z,,Master plan,PRODSECTOR,AREATYPE,AREATYPE2,UPC_PRECIN,PRECINCT_,HH,POP_NONLAB,WORKER,STUDENT,LABOURER,POP_TOT,HOTELROOMS,RES_GFA,RETAIL_GFA,OFFICE_GFA,L_IND_GFA,M_IND_GFA,H_IND_GFA,SCHOOL_GFA,MED_GFA,OTHER_GFA,CONS_SITE,RETGEN_PRO,RETMAL_PRO,MEDCLI_PRO,MEDHOS_PRO,NONTER_PRO,TER_PRO,SCHPLCS_NT,SCHPLCS_TE,SCHPLCS_PR,SCHPLCS_SE,SECT_DST,SECT_FRT,SECT_EXT,SECT_REP,SECT_REPMS,METRO_AREA,SHAPEAREA,CENTROIDX,CENTROIDY,PARK_SEC,URBAN_RURA,LAB_CON_P,LAB_OTH_P,LAB_IND_P,IND_AREA,PROP_INT_L,PROP_INT_W,PROP_INT_O,SECT_BAL,SECT_INT,REG,TOD_A,TOD_P,HGV_PERMIT,ADSICDIST,DISTNAME,TMP,UDM_DIST,MP_ProjectID
35,ADM,MP,2,1,11,28,Saadiyat Island,164,800,480,176,0,800,0,36374,836,175,0,0,0,0,0,175,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,239345,2715061,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
36,ADM,MP,2,2,11,28,Saadiyat Island,144,302,166,75,0,302,87,60517,0,0,0,0,0,0,0,2,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,240853,2717526,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,MIP Study - Saadiyat QAH,AL SAADIYAT ISLAND,1007.45
37,ADM,MP,2,2,11,28,Saadiyat Island,369,1102,606,275,0,1102,0,80922,8366,0,0,0,0,0,0,3868,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,242426,2718301,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,MIP Study - Saadiyat QAH,AL SAADIYAT ISLAND,1007.45
38,ADM,MP,2,1,11,28,Saadiyat Island,700,2600,1560,572,0,2600,0,108541,3456,0,0,0,0,0,0,3000,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238941,2714550,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
39,ADM,MP,2,7,11,28,Saadiyat Island,95,293,161,64,0,293,0,72964,0,0,0,0,0,0,0,2438,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,1,238839,2716079,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.45
40,ADM,MP,2,2,11,28,Saadiyat Island,144,549,301,137,0,549,0,60132,0,0,0,0,0,16000,0,8550,0,100,0,100,0,100,0,1500,0,750,750,2,1,0,4,1,1,0,242001,2718274,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,MIP Study - Saadiyat QAH,AL SAADIYAT ISLAND,1007.45
41,ADM,MP,2,1,11,28,Saadiyat Island,500,2500,1500,550,0,2500,0,112896,6048,20000,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238620,2714744,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
42,ADM,MP,2,1,11,28,Saadiyat Island,350,1700,1020,374,0,1700,0,75442,1480,809,0,0,0,0,0,809,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238624,2714930,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
43,ADM,MP,2,1,11,28,Saadiyat Island,600,2400,1440,528,0,2400,0,103325,3300,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238628,2715096,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
44,ADM,MP,2,3,11,28,Saadiyat Island,350,1500,900,330,0,1500,0,67336,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238897,2714150,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
45,ADM,MP,2,1,11,28,Saadiyat Island,120,500,300,110,0,500,200,21000,0,203440,0,0,0,68262,0,0,0,100,0,100,0,100,0,8145,0,3584,4561,2,1,0,4,1,1,0,238776,2715336,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.0
46,ADM,MP,2,3,11,28,Saadiyat Island,38,143,86,31,0,143,0,7444,500,0,0,0,0,52652,0,0,0,100,0,100,0,100,0,3700,0,1628,2072,2,1,0,4,1,1,0,238832,2715601,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.38.3
47,ADM,MP,2,1,11,28,Saadiyat Island,400,1500,900,330,0,1500,163,68444,10000,10000,0,0,0,0,0,809,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238598,2714491,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
48,ADM,MP,2,2,11,28,Saadiyat Island,4,22,11,6,0,22,132,14130,0,0,0,0,0,0,0,43,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,241859,2718576,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,MIP Study - Saadiyat QAH,AL SAADIYAT ISLAND,1007.45
49,ADM,MP,2,1,11,28,Saadiyat Island,120,400,240,88,0,400,0,20429,3840,20000,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238423,2715097,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
50,ADM,MP,2,1,11,28,Saadiyat Island,100,300,180,66,0,300,0,15792,5640,20000,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238418,2714929,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
51,ADM,MP,2,3,11,28,Saadiyat Island,5,30,20,5,0,30,0,13610,0,0,0,0,0,0,0,6568,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238459,2715885,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.38.3
52,ADM,MP,2,7,11,28,Saadiyat Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21750,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238442,2713859,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
53,ADM,MP,2,1,11,28,Saadiyat Island,120,500,300,110,0,500,0,23604,10000,20000,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238338,2714739,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
54,ADM,MP,2,1,11,28,Saadiyat Island,0,0,0,0,0,0,0,0,5514,20000,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238315,2715117,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
55,ADM,MP,2,1,11,28,Saadiyat Island,0,0,0,0,0,0,0,0,4828,0,0,0,0,0,0,10000,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238231,2714929,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
56,ADM,MP,2,3,11,28,Saadiyat Island,712,2616,1570,576,0,2616,0,136000,2500,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,237922,2715660,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.38.3
57,ADM,MP,2,1,11,28,Saadiyat Island,0,0,0,0,0,0,0,0,3750,20000,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238188,2715097,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
58,ADM,MP,2,1,11,28,Saadiyat Island,200,700,420,154,0,700,0,32855,1113,25000,0,0,0,0,0,803,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238281,2715221,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
59,ADM,MP,2,3,11,28,Saadiyat Island,1202,4424,2655,974,0,4424,0,230000,2000,0,0,0,0,0,0,5650,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238204,2715594,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.38.3
60,ADM,MP,2,3,11,28,Saadiyat Island,400,1700,1020,374,0,1700,150,74418,4894,7697,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238162,2714424,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
61,ADM,MP,2,1,11,28,Saadiyat Island,100,500,300,110,0,500,150,18453,10000,20000,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238102,2714757,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
62,ADM,MP,2,3,11,28,Saadiyat Island,592,2164,1299,476,0,2164,0,112500,1400,0,0,0,0,0,0,4583,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,238153,2715961,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.38.3
63,ADM,MP,2,1,11,28,Saadiyat Island,100,400,240,88,0,400,0,14646,5000,20000,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,237986,2714939,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
