Municipality,ProjectID,Include in Summary,Project Name,DistrictID,District,Regional_Subregional Centre_District,District Centre,Centre or Non Centre,Approved,Approval Year,Approved Completion Year,Notes,EH,Phasing_Note,Planning Status,Delivery Status,Status,Major,Total GFA,Residential Population,Residential (GFA),Residential % Committed,Residential - Villas Emiratis (Units),Residential - Villas Emiratis % Committed,Residential - Villas Non-Emiratis (Units),Residential - Villas Non-Emiratis % Committed,Residential - Apartments (Units),Residential - Apartments % Committed,Residential - Labour Accommodation (Units),Residential - Labour Accommodation % Committed,Retail (GFA),Retail % Committed,Office (GFA),Office % Committed,Industrial (GFA),Industrial % Committed,Hotel (GFA),Hotel % Committed,Community Facilities (GFA),Community Facilities % Committed,Healthcare (GFA),Healthcare % Committed,Education (GFA),Education % Committed,Other (GFA),Other % Committed,Demolish Existing Buildings or Not (Yes/No),2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Abu Dhabi,1113.3.2,Yes,"Zone YS-01, Yas South",1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2017,NA,0,0,Completed,Completed,Completed,Committed,0," 181,192 ", -   ," 137,128 ", 1 ,0,0,451,1,0,100%,0,0%,"1,750",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,26239.0,Yes,Data Center Master Plan,32,ZAYED MILITARY CITY,ZAYED MILITARY CITY,0,NonCentre,Yes,2020,2028,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 136,682 ", -   ," 374,178 ", 1 ,0,0,0,1,698,100%,0,0%,"4,450",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,2105.0,Yes,National Rehabilitation center,5,SHAKHBOUT CITY,SHAKHBOUT CITY,0,NonCentre,Yes,2011,Completed,0,0,Completed,Completed,Completed,Committed,0," 68,206 ", NA ," 163,168 ", 1 ,0,0,"1,207",1,531,100%,0,0%,"17,208",100%,"21,600",100%,0,100%,"3,061",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,6033.0,Yes,Southside Destination Village & Logistics Park,1331,AL MATAR,AL MATAR,Airport,Centre,Yes,2014,NA,0,0,Partially Delivered,Planned,Pipeline,Committed,0," 776,895 ", -   ," 228,710 ", 1 ,0,0,0,0,0,100%,0,0%,972,100%,0,100%,"504,393",100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.8,Yes,"Zone TP, Theme Park Zone",1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2020,2022,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 321,334 ", -   ," 78,768 ", 1 ,0,0,140,1,0,100%,0,0%,834,100%,616,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,15694.0,Yes,MBZ - Z29,48,MOHAMED BIN ZAYED CITY,MOHAMED BIN ZAYED CITY,0,NonCentre,Yes,NA,NA,National Housing,Yes,Approved but Not Delivered,Committed,Pipeline,Committed,0," 995,004 "," 5,379 "," 970,607 ", 1 ,0,1,0,0,142,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.11,Yes,"Zone S, Yas Beach Club development ",1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2015,Completed,0,0,Completed,Completed,Completed,Committed,0," 1,961 ", -   ," 2,132,125 ", 0 ,0,0,"6,791",1,"3,800",100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,10234.0,Yes,Ghantoot Master Plan - Theme Park,1305,AL LAYYAN,AL LAYYAN,0,NonCentre,No,2015,NA,0,0,Not Approved / Lapsed,Future,Future,Future,Yes,,," 319,491 ", 1 ,0,0,"1,023",1,"20,295",100%,0,0%,"122,193",100%,"610,221",100%,"238,626",100%,"100,569",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,21301.0,Yes,The Gateway,1337,SAS AL NAKHL,SAS AL NAKHL,0,NonCentre,Yes,2020,2022,0,0,Approved but Not Delivered,Planned,Pipeline,Committed,0," 160,006 "," 1,920 "," 5,139,124 ", 1 ,0,0,0,1,523,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1303.0,Yes,Al Bateen Park Development,1300,AL BATEEN,AL BATEEN,0,NonCentre,Yes,2010,Completed,0,0,Completed,Completed,Completed,Committed,0," 123,189 ", NA ," 864,083 ", 1 ,0,0,385,1,428,100%,0,0%,"6,060",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,29137.0,Yes,"Zone E, Welcome Pavilion and Cascade, YS1_C2",1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2010,Completed,DCR Approval,0,Completed,Completed,Completed,Committed,0," 17,566 ", -   ," 1,268,743 ", 1 ,0,0,0,0,"6,669",100%,0,0%,"85,173",100%,"284,078",45%,"1,500",0%,"115,631",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1007.38.3,No,Cultural District Phase 1,1347,AL SAADIYAT ISLAND,AL SAADIYAT ISLAND,Saadiyat Island,Centre,Yes,2019,2025,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 1,579,333 "," 24,305 ", -   , 1 ,0,0,NA,1,"3,800",50%,0,0%,0,0%,0,0%,0,0%,0,0%,?,?,0,50%,0,50%,0,50%,,,,,,,,,,,,,,,,,,
Abu Dhabi,18211.0,Yes,Masnouah Island West,1343,QIRQISHAN,QIRQISHAN,0,NonCentre,Yes,2019,NA,0,0,Approved but Not Delivered,Planned,Pipeline,Committed,0," 35,000 ", -   ," 349,496 ", 1 ,0,0,"6,210",1,"4,600",100%,0,0%,0,0%,0,0%,0,0%,0,0%,?,?,"52,164",100%,"208,656",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1116.5,Yes,Al Falah - Town Centre,31,AL FALAH,AL FALAH,0,NonCentre,Yes,2012,Completed,National Housing?,Yes,Completed,Completed,Completed,Committed,0," 881,057 "," 9,202 ", -   , 1 ,0,1,0,0,0,100%,0,0%,0,100%,"31,758",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.24.x,Yes,"Zone AA-02, Yas Island Staff Housing, Phase 2",1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2018,2025,0,0,Approved but Not Delivered,Planned,Pipeline,Committed,0," 42,241 "," 4,704 "," 479,509 ", 1 ,0,0,"2,503",1,371,100%,0,0%,"21,826",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.28,Yes,Zone IB - Phase 2,1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2023,2026,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 267,951 "," 6,907 ", -   , 1 ,0,0,0,1,190,100%,0,0%,"2,600",100%,"22,673",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1097.40,Yes,Najmat Phases 1 & 2,57,AL REEM ISLAND,AL REEM ISLAND,Downtown,Centre,Yes,2021,2035,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 2,889,535 "," 34,344 "," 514,516 ", 1 ,0,0,0,1,0,100%,0,0%,"389,916",100%,"40,000",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,2115.2,No,Al Forsan Village,26,KHALIFA CITY,KHALIFA CITY,0,NonCentre,Yes,2023,Completed,0,0,Completed,Completed,Completed,Committed,0," 229,787 ", -   ," 170,166 ", 1 ,0,0,0,1,35,100%,0,0%,"2,413",100%,0,100%,0,100%,"36,631",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.18,Yes,Zone IB - Phase 1,1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2017,Completed,0,0,Completed,Completed,Completed,Committed,0," 250,799 "," 7,144 "," 382,338 ", 1 ,0,0,234,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.24,Yes,"Zone AA-02, Yas Island Staff Housing, Phase 1",1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2018,Completed,0,0,Completed,Completed,Completed,Committed,0," 65,685 "," 3,060 "," 565,087 ", 1 ,0,0,"2,213",1,"1,772",100%,0,0%,"32,192",100%,"2,208",100%,0,100%,0,100%,?,?,"23,771",100%,"95,085",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,18932.0,Yes,Al Gurm Phase II,1292,AL QURM,AL QURM,0,NonCentre,Yes,2019,2022,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 100,289 ", 525 ," 229,304 ", 1 ,0,0,76,0,861,100%,0,0%,"29,335",100%,"89,911",100%,0,100%,"10,951",100%,?,?,0,100%,"3,031",100%,"44,708",100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.6.12.4,Yes,Noya 4 & 5,1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2022,2025,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 182,036 "," 4,383 "," 245,455 ", 1 ,0,0,449,1,0,100%,0,0%,"13,000",100%,0,100%,"8,380",100%,"110,025",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Al Sader Ph2,Yes,Al Sader Project National Housing - Ph2,30,AL SADER,AL SADER,0,NonCentre,No,NA,NA,National Housing,Yes,Not Approved / Lapsed,Future,Future,Future,EH,," 8,738 "," 770,361 ", 1 ,0,1,0,0,0,100%,0,0%,"3,128",100%,"1,810",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5365.0,Yes,Al Merief,26,KHALIFA CITY,KHALIFA CITY,Airport,Centre,Yes,2017,2020,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 238,580 "," 5,695 "," 2,695,089 ", 1 ,0,0,72,1,214,100%,0,0%,"1,500",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.6.12.2,Yes,Noya 2,1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2022,2024,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 163,187 "," 3,262 "," 1,093,074 ", 0 ,0,0,510,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,26626.0,Yes,Al Nahda Master Plan,1329,BANI YAS,BANI YAS,Al Nahda,Centre,Yes,2021,2025,National Housing,Yes,Approved but Not Delivered,Committed,Pipeline,Committed,0," 5,543,949 "," 47,893 "," 889,296 ", 1 ,"4,000",1,0,0,TBD,0%,0,0%,TBD,0%,TBD,0%,TBD,0%,TBD,0%,?,?,"33,600",100%,"134,400",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,24996.0,Yes,"MZ Fisherman's Wharf Souqs
",1288,ZAYED PORT,ZAYED PORT,0,NonCentre,Yes,2022,2024,0,0,Partially Delivered,Committed,Pipeline,Committed,Yes," 82,955 ", 491 ," 742,875 ", 1 ,0,0,"1,458",1,0,100%,0,0%,"13,360",100%,162,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,39724.0,Yes,Reportage Village,26,KHALIFA CITY,KHALIFA CITY,0,NonCentre,Yes,2024,2026,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 82,771 "," 1,466 "," 257,788 ", 1 ,0,0,0,1,"1,525",100%,0,0%,"3,850",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1039.1,Yes,Hashemi Hotel,1303,AL ZAHIYAH,AL ZAHIYAH,0,NonCentre,Yes,2016,2017,0,0,Not Approved / Lapsed,Future,Future,Future,No," 32,624 ", -   ," 727,074 ", 1 ,0,0,"1,342",1,"2,690",100%,0,0%,"28,400",100%,"1,300",100%,0,100%,"14,670",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Samha New Housing - Ph 1,Yes,Samha New Housing - Ph 1,1326,MUWAYLIH,MUWAYLIH,0,NonCentre,No,NA,NA,National Housing,Yes,Not Approved / Lapsed,Future,Future,Future,EH,,," 364,156 ", 1 ,0,1,0,0,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,"224,000",100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,2108.1,No,Razeen Labour Camps (x 4),1325,AL WATHBAH,AL WATHBAH,0,NonCentre,Yes,2010,Completed,0,0,Completed,Completed,Completed,Committed,0," 690,720 ", NA ," 1,731,568 ", 1 ,0,0,0,1,0,100%,0,0%,"17,656",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.E1_C3e,Yes,"Zone E, E1_C3e",1330,YAS ISLAND,YAS ISLAND,0,NonCentre,No,NA,NA,0,0,Not Approved / Lapsed,Future,Future,Future,No," 16,949 ",," 436,150 ", 1 ,0,0,45,1,"6,671",100%,0,0%,"40,369",100%,"95,966",100%,"1,500",100%,"50,390",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,2103.2,No,Bawabat Al Sharq Phase 3,1329,BANI YAS,BANI YAS,0,NonCentre,Yes,2018,2020,0,0,Completed,Completed,Completed,Committed,0," 60,898 ", 982 ," 617,452 ", 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1116.1,Yes,Al Falah Community - Villages 1-5,31,AL FALAH,AL FALAH,0,NonCentre,Yes,2009,Completed,Emirati Housing MP,Yes,Completed,Completed,Completed,Committed,0," 1,807,704 "," 36,240 "," 412,595 ", 1 ,0,1,0,0,0,100%,0,0%,"228,569",10%,"228,569",10%,"3,425,845",100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,21592.0,Yes,Merzab Community Development,1327,AL SAMHAH,AL SAMHAH,0,NonCentre,Yes,2021,2024,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 83,138 "," 1,614 "," 200,000 ", 1 ,0,0,0,1,"1,393",100%,0,0%,"48,000",100%,"248,717",80%,0,100%,"323,203",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,17158.0,Yes,Qasr Al Jurf,1306,GHADEER AL TAYR,GHADEER AL TAYR,0,NonCentre,Yes,2023,2024,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 192,147 "," 2,687 ", -   , 1 ,0,0,0,1,400,100%,0,0%,"975,122",0%,"202,438",0%,"2,811,121",58%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,SHM13_P1,Yes,SHM13_P1,64,AL SHAWAMEKH,AL SHAWAMEKH,0,NonCentre,No,NA,NA,National Housing?,Yes,Not Approved / Lapsed,Future,Future,Future,EH,,, -   , 1 ,88,1,0,0,0,100%,0,0%,"1,000",100%,0,100%,0,100%,"45,280",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1164.0,Yes,Zayed Sports City,1297,AL RAWDAH,AL RAWDAH,Zayed Sports City,Centre,Yes,2018,NA,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 1,927,515 "," 29,577 "," 553,700 ", 1 ,0,0,0,1,0,0%,0,0%,"3,485",0%,0,0%,0,0%,"29,139",0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1131.0,Yes,United Square,1290,AL KHALIDIYAH,AL KHALIDIYAH,0,NonCentre,Yes,2013,Completed,0,0,Completed,Completed,Completed,Committed,0," 64,750 ", NA ," 524,347 ", 1 ,0,0,"1,439",1,449,100%,0,0%,"20,000",100%,0,100%,,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,17054.0,Yes,Higher College of Technology Complex,64,AL SHAWAMEKH,AL SHAWAMEKH,0,NonCentre,Yes,2018,Completed,0,0,Completed,Completed,Completed,Committed,0," 90,590 ", -   ," 674,741 ", 1 ,0,0,281,1,688,100%,0,0%,"1,950",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5000.0,Yes,KIZAD MP,1332,AL MA'MOURAH,AL MA'MOURAH,0,NonCentre,Yes,2018,NA,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 12,108,742 ", -   ," 900,000 ", 0 ,0,0,1,1,0,100%,0,0%,"14,372",0%,"25,828",0%,0,0%,"56,429",0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,38988.0,Yes,Reem Hills - Phase 3,57,AL REEM ISLAND,AL REEM ISLAND,0,NonCentre,No,NA,NA,0,0,Not Approved / Lapsed,Future,Future,Future,Yes," 650,612 "," 10,690 "," 729,832 ", 1 ,0,0,142,1,TBD,0%,0,0%,TBD,0%,TBD,0%,TBD,0%,TBD,0%,?,?,"1,193",100%,"4,771",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.14,Yes,Sky Venture AD (Clymb),1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2016,Completed,0,0,Completed,Completed,Completed,Committed,0," 5,934 ", -   , -   , 1 ,0,0,110,1,"7,662",100%,0,0%,"72,009",100%,"577,278",80%,"178,067",100%,"89,087",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Musaffah_New,Yes,Musaffah_New,,,,,,,,0,0,0,0,0,0,0,0,,," 830,503 ", 1 ,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.9,Yes,"Zone JA, Ansam Residential Development",1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2012,2025,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 226,079 "," 5,846 "," 810,000 ", 1 ,0,0,312,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Al Haffar,Yes,Al Haffar,380,AL HAFFAR,AL HAFFAR,0,NonCentre,No,NA,TBD,Future project - Pre-concept planning estimated #s,Yes,Not Approved / Lapsed,Future,Future,Future,EH, TBD ," 28,000 "," 1,622,389 ", 1 ,NA,1,0,0,NA,0%,0,0%,"479,125",0%,"255,118",0%,"267,563",0%,"93,336",0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.7.JB_JC,Yes,"Zones JB, JC & JD, Yas Links",1330,YAS ISLAND,YAS ISLAND,0,NonCentre,No,NA,NA,"IWFP estimate, Not Approved",0,Not Approved / Lapsed,Future,Future,Future,No," 32,000 ", 500 ," 713,791 ", 1 ,0,0,"2,376",1,"1,818",100%,0,0%,"20,080",100%,"2,250",0%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,18650.0,Yes,Al Khatim,1250,AL KHATM,AL KHATM,0,NonCentre,No,2019,NA,Future project - Pre-concept planning estimated #s,Yes,Not Approved / Lapsed,Future,Future,Future,EH, TBD , 973 ," 631,092 ", 1 ,"7,626",1,0,0,"10,400",80%,0,0%,"348,122",60%,0,60%,0,0%,0,100%,?,?,0,80%,0,80%,0,80%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1251.2,Yes,Marina Village Villas,1296,AL KASIR,AL KASIR,Palaces,Centre,Yes,2013,Completed,0,0,Completed,Completed,Completed,Committed,0," 95,000 ", 720 ," 765,848 ", 1 ,0,0,0,1,0,100%,0,0%,"92,857",70%,"54,132",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1025.0,Yes,Bateen Wharf,1300,AL BATEEN,AL BATEEN,0,NonCentre,Yes,2013,Completed,0,0,Completed,Completed,Completed,Committed,0," 5,528 ", NA ," 1,478,486 ", 1 ,0,0,"2,485",1,"12,186",60%,0,0%,"40,350",100%,"27,700",100%,0,100%,"25,153",100%,?,?,0,60%,0,60%,0,60%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1097.34,Yes,Najmat Phase 3,57,AL REEM ISLAND,AL REEM ISLAND,Downtown,Centre,Yes,2022,2035,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 1,729,203 "," 25,547 "," 196,909 ", 1 ,0,0,488,1,0,100%,0,0%,"5,675",100%,0,100%,0,100%,0,100%,?,?,"6,636",100%,"26,542",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1007.38,Yes,Cultural District MP,1347,AL SAADIYAT ISLAND,AL SAADIYAT ISLAND,Saadiyat Island,Centre,Yes,2022,2028,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 2,776,045 "," 40,009 "," 625,000 ", 1 ,0,0,0,1,0,0%,0,0%,"3,016",100%,"119,094",50%,0,0%,"27,740",600%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,33450.0,Yes,Tawazun Industrial Park Phase 2,32,ZAYED MILITARY CITY,ZAYED MILITARY CITY,0,NonCentre,Yes,2023,2031,0,0,Approved but Not Delivered,Planned,Pipeline,Committed,0," 4,755,479 "," 12,000 "," 1,534,275 ", 1 ,0,0,0,1,0,100%,0,0%,"5,519",100%,432,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.7.JE,Yes,"Zone JE, Yas Links View Apartment South",1330,YAS ISLAND,YAS ISLAND,0,NonCentre,No,NA,NA,"IWFP estimate, Not Approved",0,Not Approved / Lapsed,Future,Future,Future,No," 27,000 ", 675 ," 2,073,705 ", 1 ,0,0,0,1,"4,598",100%,0,0%,"61,331",100%,"140,763",100%,0,100%,"121,755",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.1.4,Yes,"Zone GA, Marina & Yacht Club",1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2008,NA,"IWFP estimate, Not Approved",0,Completed,Completed,Completed,Committed,0," 8,360 ", NA ," 736,973 ", 1 ,0,0,"7,165",1,"3,720",100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,24811.0,Yes,Manazel Tower -YS1_C9/E507b,1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2020,NA,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 11,481 ", NA ," 1,283,515 ", 1 ,0,0,0,1,"11,610",60%,0,0%,"58,400",100%,"7,425",100%,0,100%,"121,674",100%,?,?,0,60%,0,60%,0,60%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5746.0,Yes,Traditional Souq,1297,AL RAWDAH,AL RAWDAH,0,NonCentre,Yes,2019,2021,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 105,520 ", -   ," 1,725,014 ", 1 ,0,0,400,1,464,100%,0,0%,"1,980",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1007.7,Yes,New York University,1347,AL SAADIYAT ISLAND,AL SAADIYAT ISLAND,Saadiyat Island,Centre,Yes,2014,Completed,0,0,Completed,Completed,Completed,Committed,0," 254,242 "," 2,800 "," 1,451,390 ", 1 ,0,0,0,1,225,100%,0,0%,"4,997",100%,0,100%,0,100%,"40,384",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,ABU AL HABL ISLAND_P1,Yes,ABU AL HABL ISLAND_P1,1346,ABU AL HABL ISLAND,ABU AL HABL ISLAND,0,NonCentre,No,NA,NA,0,0,Not Approved / Lapsed,Future,Future,Future,Yes,,, -   , 1 ,0,0,43,1,"11,717",100%,0,0%,"205,740",100%,"111,809",100%,0,100%,"108,600",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1251.1,Yes,Fairmont Hotel,1296,AL KASIR,AL KASIR,Palaces,Centre,Yes,2016,Completed,0,0,Completed,Completed,Completed,Committed,0," 146,044 ", 177 ," 1,231,783 ", 1 ,0,0,580,1,0,0%,0,0%,"3,000",100%,0,100%,0,0%,0,0%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,16775.0,Yes,Mina Zayed_Phase 1 - Nat Housing,1288,ZAYED PORT,ZAYED PORT,0,NonCentre,No,NA,NA,0,Yes,Not Approved / Lapsed,Future,Future,Future,Yes," 1,999,349 "," 42,242 "," 744,646 ", 1 ,NA,0,0,0,NA,40%,0,0%,"35,875",40%,0,40%,0,0%,"91,055",100%,?,?,"3,500",40%,"1,400",40%,"15,700",40%,,,,,,,,,,,,,,,,,,
Abu Dhabi,25087.x,Yes,Mina Zayed  - Rest of Phase 2,1288,ZAYED PORT,ZAYED PORT,0,NonCentre,No,NA,NA,0,0,Not Approved / Lapsed,Future,Future,Future,Yes," 1,470,000 "," 23,143 "," 1,302,880 ", 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,32379.0,Yes,Al Falah Sector 5,31,AL FALAH,AL FALAH,0,NonCentre,Yes,NA,NA,National Housing?,Yes,Approved but Not Delivered,Committed,Pipeline,Committed,0,,," 26,089,586 ", 1 ,"1,280",1,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,?,?,"10,752",0%,"43,008",0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1416.0,Yes,Yas Canal,1279,AL BAHYAH,AL BAHYAH,0,NonCentre,No,NA,NA,Land Ownership TBD,Yes,Not Approved / Lapsed,Future,Future,Future,EH,," 8,595 "," 2,062,875 ", 1 ,NA,1,0,0,NA,0%,0,0%,"1,500",0%,0,0%,0,0%,0,0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1104.0,Yes,Ghantoot Green City,1306,GHADEER AL TAYR,GHADEER AL TAYR,0,NonCentre,Expired,2009,NA,No Time extension Awarded yet,0,Not Approved / Lapsed,Future,Future,Future,Yes,,, -   , 1 ,0,0,0,1,"24,831",80%,0,0%,"174,255",75%,"500,705",40%,0,100%,"354,685",100%,?,?,0,80%,0,80%,0,80%,,,,,,,,,,,,,,,,,,
